chr	ratio.mean	ratio.median	zscore
1	-0.0032609199439199567	-0.0030574749279125464	-0.7181555916155843
2	-0.00222586397436516	-0.0013685886009461151	-0.4948482469949836
3	-0.0023969547839590264	-0.0011334488095482856	-0.6990839443004558
4	-0.0006541784524630243	0.0006980480764811368	0.07011094194494766
5	-0.002027482027326054	-0.0029393041209732663	-0.45940806974679793
6	0.0003975992265176495	0.0008366829702791123	0.6996009429776066
7	-0.0013405186922353768	0.00015858560133438651	-0.26070705932894234
8	-0.0018417550644656312	-0.0007432575407652726	-0.29488018108963754
9	-0.0004837345131196531	0.0014788938989835924	0.09001923578037066
10	-0.0015900220429246811	0.00015297606052258302	-0.14923486447099735
11	-0.0008582369348535444	-0.0010502284634716433	0.0448766391972359
12	-0.00025677831553574574	3.019246228672481e-05	0.15274375810537785
13	0.00010740967984628051	0.0010327967421443886	0.09509981977368882
14	-0.000769248617836592	0.001469153008167432	0.05796904654663658
15	-0.002433002616849088	-0.0021174826085320793	-0.29353041238958605
16	-0.0012881535434355064	-0.0010316510071278879	-0.09030886457732079
17	0.0026513354040225124	-0.0001100300013302676	0.5224786008875596
18	-0.0011608661300810323	-0.0005435053108220631	-0.06299183690262584
19	-0.005387259215980009	-0.007701648079880146	-0.08427206994165705
20	-0.0003655276543721735	-0.0007153791600984443	0.054850498488133136
21	0.08936088385621849	0.09039306322638224	16.291170671998824
22	-0.005828358472404008	-0.004006435094853288	-0.39925252564061936
X	-0.010416143849382876	-0.00890714719904051	-0.5860122754447978
Standard deviation ratios (per chromosome): 0.018776073523327164
Median segment variance (per bin): 0.0028141000784848895
